item_id,text,label
'575737709605613569',still httpAddress watching cyclone pam on httpAddress very near east cape north island httpAddress httpAddress,__lable__1
'575737716765159424',thousands wait for relief in vanuatu as death toll inches up thousands of people left homeless by a fierce httpAddress httpAddress,__lable__3
'575737826702135297',rt usrId about D in D children in #vanuatu in need of humanitarian assistance httpAddress #cyclonepam httpAddress,__lable__5
'575737841344495618',christian worship rises amid vanuatu destruction httpAddress,__lable__2
'575737842325929984',rt usrId after cyclone israeli mission provides relief in vanuatu httpAddress,__lable__5
'575737866698911745',usrId cricket communities rally behind vanuatu icc cricket australia and new zealand cricket pitch in to held the people of httpAddress,__lable__5
'575737885971742720',rt usrId pam piero amzing select photo usrId httpAddress,__lable__4
'575737898231693313',vanuatu cyclone first aid reaches islands ravaged by pam bbc news DD march 20DD last httpAddress httpAddress #worldnews,__lable__5
'575737966582108161',#entertainment #buzz custom pam anderson neck plate httpAddress httpAddress #buy #discount,__lable__4
'575738022047649793',tropical cyclone pam kills at least six people in vanuatu wall street journal httpAddress,__lable__3
'575738025180725248',aid worker in cyclone hit vanuatu holding on for dear life early reports from vanuatu said at least six httpAddress httpAddress,__lable__5
'575738117346435072',vanuatu cyclone grave concern for outlying villages the australian the australianvanuatu cyclone grave httpAddress httpAddress,__lable__1
'575738169120829440',cyclone pam delays volvo ocean race start leg D auckland itajai #vor #bwr201D #sailing videos httpAddress,__lable__1
'575738183197069312',rt usrId baldwin lonsdale vanuatus president on #cyclonepam climate change contributes to these extreme weather events http,__lable__1
'575738227820249088',cyclone hits island nation of vanuatu and kills D httpAddress,__lable__3
'575738277786951681',come out and let s show pam some love and wish her a happy birthday ! outside oyster roast at noon httpAddress httpAddress,__lable__4
'575738314856120320',rt usrId mea will provide immediate financial assistance to people of httpAddress we stand shoulder to shoulder with vanuatu in this,__lable__5
'575738326159867905',rt usrId there s reports ravaged vanuatu experienced an eight metre storm surge as a result of httpAddress,__lable__1
'575738350671257600',uff !! it caught ; unbelievable destruction reported in tropical cyclone pam s wake cnn httpAddress httpAddress #gossip,__lable__2
'575738368341897216',a week after vanuatu cyclone some homeless still await help httpAddress,__lable__2
'575738467226927104',my very rude further adventures httpAddress amazon us httpAddress uk httpAddress more of pams httpAddress,__lable__4
'575738509140480000',cyclone pam may be one of the worst in pacific history unicef super tropical cyclone pam could be one of httpAddress httpAddress,__lable__1
'575738527251439617',rt usrId a cat can work out mathematically the exact spot to sit to cause the most httpAddress pam brown httpAddress,__lable__4
'575738572931751938',#news #tv #media cyclone pam vanuatu grapples with devastation after deadly storm httpAddress,__lable__2
'575738640577486848',aquamarine spring color by pam httpAddress #artisanbot #udobiz #decor #jewelry #art #gifts,__lable__4
'575738655932702720',we are tipping hidden cyclone to blow his ryanair chase rivals this afternoon at httpAddress race preview httpAddress httpAddress,__lable__4
'575738734802432001',rt usrId not many have heard of httpAddress keep them in our prayers as massive cyclone rips the httpAddress may the almighty protect and g,__lable__6
'575738828331188224',rt usrId #samoaredcross liaising with its government to send relief stocks to tuvalu on pacific patrol boat #mvnafanua to tuvalu #,__lable__5
'575738832030560256',rt usrId tropical cyclone pam now a category D as it approaches new zealand winds at cape reinga gusting up to 1D0 k s an hour e,__lable__1
'575738837051174913',#thetwittazine usrId #suemee thesuemee those runnin vanuatu should b #ashamed the bolt report supporters group httpAddress,__lable__6
'575738863659925504',rt usrId our partners at island reach joining recovery efforts as #vanuatu deals with #cyclone httpAddress httpAddress httpAddress,__lable__5
'575738871205363712',while waiting for cyclone pam to pass lmao usrId 2 2 2 httpAddress,__lable__1
'575738883448664064',breaking cyclone devastates vanuatu financial times new york timescyclone devastates httpAddress httpAddress #khaatumo #khatumo,__lable__2
'575738910094962688',cyclone hit vanuatu appeals for help httpAddress,__lable__5
'575738966130954240',rt usrId #gippsnews mt usrId is here ! benefit concert for vanuatu cyclone httpAddress httpAddress httpAddress,__lable__5
'575738991795900416',food running critically short in vanuatu as entire islands described as httpAddress,__lable__1
'575739015372095488',rt usrId vanuatu in desperate appeal for aid after devastating httpAddress dozens feared httpAddress httpAddress httpAddress,__lable__5
'575739020245774336',#xfactornz i was worried about cyclone httpAddress but why ?,__lable__4
'575739020946227201',vanuatus cyclone plight could soon become the norm the struggle for climate justice for small island states httpAddress,__lable__1
'575739022514896896',rt usrId jim is a friend of httpAddress so the only people this crush really concerns is jim and pam and me .,__lable__4
'575739022988828673',pm shares sorrow and pain of those affected by cyclone in vanuatu httpAddress via usrId,__lable__6
'575739029775233025',rt usrId #cyclonepam the red cross has also launched an appeal to help those in httpAddress details at httpAddress http,__lable__5
'575739031738146818',rt usrId #cyclonepam was the strongest cyclone to hit #vanuatu in recorded httpAddress you can help httpAddress httpAddress,__lable__5
'575739033394900992',rt usrId the devastation caused by cyclone pam in vanuatu is extremely httpAddress i share the sorrow amp ; pain of all those who hav,__lable__6
'575739034749685760',rt usrId usrId we ve also opened an urgent appeal for the children of #vanuatu httpAddress please share ! #tcpam #c,__lable__5
'575739038595833856',cyclone college brings hope to india s vulnerable coastal community httpAddress,__lable__5
'575739040797884416',dozens feared dead after super cyclone pam slams into vanuatu in pictures terrifying tropical cyclone httpAddress httpAddress,__lable__3
'575739042353934336',rt usrId as rescuers start to reach vanuatu s outer islands they find people having to drink saltwater to stay alive httpAddress,__lable__5
'575739096116523008',australian cyclone makes landfall losses strength sydney reuters a powerful tropical cyclone was losing httpAddress httpAddress,__lable__1
'575739114076569600',cyclone pam leaves trail of destruction in pacific s vanuatu httpAddress #international,__lable__2
'575739156485144576',rt usrId #vanuatu gov has demonstrated commitment to ensuring #tcpam response is coordinated amp ; well planned says our rep #osnatlub,__lable__5
'575739164894883841',as httpAddress backs fossil fuel divestment bill mckibben on vanuatu oxford vote california water crisis httpAddress,__lable__4
'575739170754166784',pam courson wife of jim morrison 1960s 70s via httpAddress httpAddress httpAddress,__lable__4
'575739189536382976',rt usrId usrId it s so shameful to disgrace sam s good name for a fake story ! none of this is true and hurtful to me as his gf . p,__lable__4
'575739205466238976',death toll rises in vanuatu cyclone to DD dead httpAddress,__lable__3
'575739263288877057',pam grier is vintage httpAddress,__lable__4
'575739322349043713',rt usrId weaker #cyclonepam heading to httpAddress north of north island expecting 70mph winds 100mm rain amp ; big httpAddress db httpAddress,__lable__1
'575739458424807425',tropical cyclone pam one of the strongest tropical cyclones in recorded history has caused devastation in vanuatu now headed for for nz,__lable__1
'575739460580548608',president cyclone devastation forcing vanuatu to start anew wellington new zealand ap vanuatu s httpAddress httpAddress,__lable__1
'575739466649731074',huge pacific cyclone devastates vanuatu at least eight dead httpAddress #emm,__lable__3
'575739473075531777',rt usrId zo will be on usrId abc radio at about 7 20am live from httpAddress live stream here if you re not in canberra httpAddress,__lable__1
'575739524644372481',rt usrId pacific island nation of vanuatu already suffering from climate change devastated by cyclone pam httpAddress,__lable__1
'575739573227024384',cyclone pam scale of destruction emerges as vanuatu picks up the pieces in pictures relief efforts httpAddress httpAddress,__lable__2
'575739674251128832',pam wiped out vanuatu development cyclone pam has wiped out development in vanuatu its president says httpAddress httpAddress,__lable__2
'575739728873459713',#news at least D dead after cyclone pam rips through vanuatu video dozens feared dead httpAddress httpAddress via usrId,__lable__3
'575739748641206272',cyclone over in the something islands killed D httpAddress httpAddress #scary,__lable__3
'575739769180811266',10 11am DD march vanuatu is there under #tcpam httpAddress gud luck lo evriwan wea i stap lo #vanuatu naoia ! httpAddress,__lable__1
'575739780564172800',rt usrId mt usrId mapaction vanuatu #cyclonepam map digest for httpAddress httpAddress #tcpam #reliefvu #hmrd v,__lable__1
'575739811283275776',cyclone pam vanuatu needs food httpAddress,__lable__5
'575739841511571457',rt usrId when pam calls iris sistaz lol #isibaya,__lable__4
'575739844850270208',unbelievable destruction reported after cyclone slams vanuatu httpAddress,__lable__2
'575739845487755264',rt usrId conservative estimate 70 of port vila hospital httpAddress can t chill medicine they re short of httpAddress #cyclonepam http,__lable__2
'575739867256086529',rt usrId we are sending a usrId medical team to set up a mobile clinic with outpatient care for victims of #cyclonep,__lable__5
'575739911552241664',video australia and nz fly aid to vanuatu httpAddress,__lable__5
'575739941076013057',in a country ripe for natural disasters this vanuatu man has survived them all usrId reports httpAddress via usrId,__lable__3
'575739949590282240',rt usrId D people confirmed dead in pacific island nation of vanuatu from destruction by tropical cyclone pam unicef httpAddress httpAddress,__lable__3
'575740031933022209',rt usrId great httpAddress by usrId and lawrence httpAddress #tcpam #vanuatu httpAddress,__lable__4
'575740048655585280',rt usrId vanuatu at the apex of #climate change disaster risk reduction and recovery #drr usrId httpAddress,__lable__1
'575740193631789057',seriously jim makes me weak in the knees with the way he talks about pam d,__lable__4
'575740280193740800',rt usrId we are monitoring conditions amp ; needs on the ground after massive cyclone pam devastates islands of #vanuatu httpAddress,__lable__2
'575740280466464768',usrId pam 7 httpAddress by jayvelisse #phhoto,__lable__4
'575740333805453314',rt usrId photos from the island nation of vanuatu which was devastated by cyclone pam on march DD httpAddress httpAddress,__lable__2
'575740345117372416',rt usrId up to 60 00 children at risk after #cyclonepam hits #vanuatu amp ; region please donate to help unicef s rapid response htt,__lable__5
'575740409634254848',rt usrId usrId cyclone and done has a good ring to it .,__lable__4
'575740430731509761',first time we ve been back to iririki httpAddress yachts impaled into the jetty no httpAddress we can t return just httpAddress httpAddress,__lable__4
'575740494900125696',rt usrId cyclone pam response httpAddress,__lable__1
'575740496414294016',rt usrId aid workers scramble to help cyclone pam victims in vanuatu httpAddress httpAddress,__lable__5
'575740497391583232',rt usrId httpAddress vanuatu #vanuatu flights over vanuatu are expected to reveal cyclone devastation DD newfoundland c,__lable__1
'575740499987824640',rt usrId our usrId landed in #vanuatu at midday on first aid flight amp ; got first pics out #tcpam httpAddress,__lable__5
'575740500252098560',rt usrId because she moves her body like a cyclone,__lable__4
'575740500424065024',rt usrId i have to be strong for httpAddress children here need food clothes httpAddress #cyclonepam httpAddress https,__lable__5
'575740501397143552',video cyclone pam my hotel is shaking httpAddress,__lable__2
'575740502353428480',rt usrId some 54k #childrenin #vanuatuare affected by cyclone httpAddress on the ground but needs your httpAddress go httpAddress,__lable__5
'575740503242625024',fears dozens killed by powerful cyclone pam via httpAddress httpAddress,__lable__3
'575740504421220352',aid heads for vanuatu after devastating pacific cyclone the first shipments of aid headed for vanuatu on sunday as authorities httpAddress,__lable__5
'575740504484130816',cyclone pam australia sends more personnel to vanuatu what about helping out with #climatechange as well ? #auspol httpAddress,__lable__5
'575740504760975360',vanuatu blames global warming as cyclone causes nations worst climate disaster in recent memory democracy now ! httpAddress,__lable__1
'575740507524984833',devastated vanuatu starts to get aid the first planeloads of international aid arrive on the pacific httpAddress httpAddress,__lable__5
'575740508011548672',one report cyclone pam leaves most of #vanuatu population httpAddress abc httpAddress #auspol australia sends httpAddress,__lable__1
'575740508049309696',cyclone pam roared squealed hissed as it hit httpAddress,__lable__1
'575740508695195648',#nrltigersdragons #news two more planes headed to cyclone zone sky news australia httpAddress,__lable__1
'575740510901420032',rsmc jma tropical cyclone advisory for analysis and forecast 2015 03 16t09 00 00z httpAddress,__lable__1
'575740513795473408',rt usrId people of #vanuatu are going to need a lot of help to rebuild their homes and their lives #cyclonepam httpAddress,__lable__5
'575740513799704576',just in bishop announces 5 million aid package for cyclone hit vanuatu httpAddress #news,__lable__5
'575740514114252800',rt usrId lmaoo dxski httpAddress call your boyfriends noww ! know your httpAddress pam pam pam another DD years don come,__lable__4
'575740514894413824',race to aid vanuatu cyclone victims httpAddress,__lable__5
'575740515196391425',cyclone pam like a bomb the fury of tropical cyclone pam one of the most powerful storms to make httpAddress httpAddress,__lable__1
'575740516022669313',#indonesia #bahrain cyclone pam leaves death and destruction on its path in the pacific httpAddress #brazil #argentina,__lable__3
'575740519776567297',rt usrId cyclone pam vanuatu hit by death and widespread devastation rolling coverage httpAddress,__lable__3
'575740520758038529',rt usrId pray for the people of vanuatu as #cyclonepam at category 5 which is the strongest moves towards vanuatu with winds,__lable__6
'575740521349435393',rt usrId cat D #cyclonepam is one of the strongest ever storms recorded in s hemisphere image vanuatu meteorological services httpAddress,__lable__1
'575740521890476032',usrId DD fijian soldiers amp ; medical personnel arrived today in port vila to assist #vanuatu httpAddress #tcpam #hmrd,__lable__5
'575740523299778560',stories of despair and destruction from cyclone pam survivors cyclone pam has caused widespread devastation .. httpAddress,__lable__2
'575740523920535553',around 82 00 children in vanuatu in need of humanitarian assistance following cyclone pam aid agency says usrId httpAddress,__lable__5
'575740525501771776',rt usrId nice avo salad tonight looked like a cyclone ! p httpAddress,__lable__1
'575740525602455552',rt usrId hanging with #vanuatu locals in httpAddress and now they need our httpAddress #cyclonepam usrId httpAddress httpAddress,__lable__5
'575740526961393664',rt usrId team landed in httpAddress access to devastated islands of #vanuatu is httpAddress #cyclonepam caused major httpAddress httpAddress,__lable__2
'575740527913537536',next relief for loved ones after contact is made from #vanuatu #7newsq continues httpAddress,__lable__3
'575740528546832384',rt usrId aid to head to #vanuatu s remote islands to survey #cyclonepam damage httpAddress pic usrId httpAddress,__lable__5
'575740528920125440',#tropicalstorm #guam DD chst DD mar DD nws guam forecast track tropical storm bavi httpAddress httpAddress #bavi #bettyph #03w,__lable__1
'575740529125646336',nouveau favori her crazy life the dave cash collection de pam tillis httpAddress usrId,__lable__4
'575740529889050625',rt usrId #vanuatu has been smashed by cyclone pam and climate change is probably to blame httpAddress httpAddress,__lable__2
'575740532384620544',usrId yes sir i know ur dealing w the cyclone,__lable__4
'575740534662156288',sonando en httpAddress #djomarcedeo ft . usrId pum pam riddim intro usrId,__lable__4
'575740535148711936',rt usrId pam you failed art httpAddress httpAddress httpAddress,__lable__4
'575740535173861376',rt usrId #repost usrId with httpAddress have teams on their way to vanuatu in response to httpAddress,__lable__5
'575740536159494145',bbcworld aerial photos show devastation caused by cyclone pam to vanuatu capital port vila httpAddress httpAddress,__lable__2
'575740536218259456',mt usrId #vanuatu unelco trying to fix power in amp ; around port vila many power lines need to be cleaned up or replaced #tcpam #hmrd via,__lable__2
'575740536763609090',rt usrId today is going to be very busy as ndmo amp ; ngo partners start distributing the first lot of food aid the logistics are mind b,__lable__4
'575740536864120832',tropical cyclone pam julie bishop visits vanuatu to assess damage after storm abc online httpAddress,__lable__1
'575740537401016320',rt usrId aid worker in cyclone hit vanuatu holding on for dear life httpAddress usrId #dubai #uae,__lable__1
'575740538059513859',vanuatu president baldwin lonsdale says climate change contributed to disaster vanuatu s president baldwin .. httpAddress,__lable__1
'575740541071044608',the destruction of cyclone pam in pictures storm has torn through the south pacific leaving homes httpAddress httpAddress,__lable__2
'575740547605884928',tropical cyclone olwyn to hit western australia on friday march 13 DD httpAddress,__lable__1
'575740549564489728',#cyclone pam dozens feared dead in vanuatu sydney morning herald httpAddress,__lable__3
'575740559052034048',so here is next video from pam and mike where they wanted to show you what really works with some proven httpAddress httpAddress,__lable__4
'575740561233072128',video vanuatu cyclone clean up begins httpAddress,__lable__1
'575740561417748480',rt usrId httpAddress eight confirmed dead after cyclone pam ravages vanuatu #vanuatu DD httpAddress,__lable__3
'575740563435098112',rt usrId cyclone #pam our thoughts and prayers are with the people of #vanuatu during this difficult time usrId,__lable__6
'575740579931275264',rt usrId after monster storm hits vanuatu leader pleads for aid httpAddress,__lable__5
'575740589578178560',president of cyclone hit vanuatu urges global action on disasters httpAddress,__lable__1
'575740590685454336',why pam was so bad for vanuatu 3 surprisingly few people are familiar with httpAddress hard to get media httpAddress a httpAddress mill httpAddress httpAddress,__lable__5
'575740592220717056',rt usrId tropical cyclone olwyn has been downgraded to a category one storm but residents in western australia s pilbara and gascoy,__lable__1
'575740606330220544',rt usrId httpAddress #vanuatu vanuatu vanuatu cyclone first aid reaches islands ravaged by pam httpAddress,__lable__5
'575740616883093504',aid effort kicks in after monster cyclone ravages vanuatu httpAddress,__lable__5
'575740616899891200',massive cyclone pummels vanuatu the south pacific country of vanuatu has taken a direct hit from a powerful httpAddress httpAddress,__lable__1
'575740619076714496',ttw today s news australia steps up aid to vanuatu as widespread devastation becomes clear httpAddress,__lable__5
'575740620842536960',usrId how to help #vanuatu httpAddress,__lable__5
'575740621375193088',rt usrId category D cyclone pam is battering vanuatu with 1DD mph winds httpAddress httpAddress,__lable__1
'575740622520238080',rt usrId in 2nd place at the f1 in schools uk national finals httpAddress cyclone racing ! #f1inschoolsuk #f1inschoolswf httpAddress,__lable__1
'575740623946260480',rt usrId about DD schools in #vanuatu were damaged during #cyclonepam but today a handful of schools are httpAddress,__lable__2
'575740624034381824',rt usrId nearly half of tuvalu now displaced by pam httpAddress,__lable__3
'575740624386682880',rt usrId #cyclonepam is expected to steadily weaken and track south to southeast and stay northeast of new zealand over the coming,__lable__1
'575740624411885569',cyclone pam s aftermath in vanuatu in pictures vanuatu is recovering from a category five cyclone which httpAddress httpAddress,__lable__1
'575740624650948608',so proud to be a cyclone ! b,__lable__4
'575740625355567105',usrId usrId usrId real time #disastermanagement with world synergy must2mitigate #vanuatu type natural disasters !,__lable__1
'575740625770835968',they should give pamela wallin a talk httpAddress just call it httpAddress i d httpAddress,__lable__4
'575740626077003776',mean tweets president obama httpAddress gt ; gt ; httpAddress timeline #vanuatu # #indvszim #zimbabwe # #xfa httpAddress,__lable__4
'575740626550947841',aid agencies to begin helicopter flights to cyclone stricken vanuatu international aid agencies are httpAddress httpAddress,__lable__5
'575740627108823040',rt usrId #cyclonepam in #vanuatu rebuilding process begins to keep children and families affected safe httpAddress httpAddress,__lable__1
'575740627779891200',thank you cyclone nathan ; beauty without httpAddress we need a waterfall tour httpAddress httpAddress,__lable__1
'575740627855368192',rt usrId vanuatu disaster fund dear chefs amp ; members as you would be aware vanuatu was struck by cyclone pam last httpAddress httpAddress,__lable__5
'575740628056735745',alertnet relief teams report devastation death after #vanuatu cyclone httpAddress #cyclonepam usrId,__lable__3
'575740629034012672',new cyclone pam aid agencies head to vanuatu as death toll rises rolling report httpAddress #follow go to world latest g,__lable__3
'575740629424062466',ndtv news world aid agencies to begin helicopter flights to cyclone stricken vanuatu ndtv news httpAddress httpAddress,__lable__5
'575740630271315968',dozens feared dead cyclone pam causes mass destruction in vanuatu httpAddress,__lable__3
'575740630866862080',after devastating #vanuatu #tcpam closes on httpAddress our thoughts to those across the tasman via usrId httpAddress,__lable__6
'575740631152099328',rt usrId please help spread the httpAddress #vanuatu needs our httpAddress no one knows what httpAddress httpAddress,__lable__5
'575740633320554496',rt usrId this is what s left of adrian s house in port httpAddress is almost httpAddress #cyclonepam httpAddress,__lable__2
'575740634796924930',gt ; gt ; httpAddress track it live ferocious cyclone pam bears down on vanuatu httpAddress gt ; gt ; httpAddress,__lable__1
'575740634897588224',rt usrId unicef is on the ground in #vanuatu httpAddress shelter clean drinking water amp ; more to help after httpAddress please donate http,__lable__5
'575740634943778816',rt usrId cyclone nathan made landfall in ne australia queensland 90 knots 1 min from jtwc strong cat D equiv hurricane httpAddress,__lable__1
'575740635736510464',rt usrId want to help those affected by cyclone pam ? check out our appeals page for a list of aid agencies #tcpam httpAddress,__lable__5
'575740639473614848',how to help the cyclone devestated country of vanuatu vis usrId httpAddress,__lable__5
'575740639733637120',rt usrId pam golding agent rt usrId ld ! this guy was so infamous at rhodes was a pnp manager a bouncer law student httpAddress,__lable__4
'575740639779794946',rt usrId there s some work to be done in #vanuatu usrId and usrId if you ve got a spare httpAddress #xfactornz httpAddress,__lable__5
'575740641138749440',rt usrId tt usrId comms down on islands of #erromango and httpAddress army troops from new caledonia will be going to httpAddress #tcpa,__lable__5
'575740643693170690',martin be comin at pam shit so hardd 2,__lable__4
'575740650454323200',cyclone pam the water was up to my waist tropical cyclone pam had already been battering vanuatu s httpAddress httpAddress,__lable__1
'575740654489239553',un stands ready to assist as tropical cyclone pam threatens vanuatupacific region httpAddress nvt,__lable__5
'575740655101566976',rt usrId today the japan disaster relief medical team left japan for vanuatu which suffered severe damage from cyclone httpAddress httpAddress,__lable__5
'575740656041127936',#vanuatu president speaks of devastation from cyclone pam httpAddress #pacificislandnation #portvila #portvilafollowing,__lable__6
'575740656867352576',massive cyclone ravages south pacific island nation time blogs share with friends world news httpAddress httpAddress,__lable__1
'575740659941814273',rt usrId 65m we re going to spend on sending DD troops to iraq would be better spent sending our troops to the pacific #cyclonepam,__lable__5
'575740661887975424',rt usrId httpAddress nearly 60 00 children in need of immediate assistance after cyclone pam in vanuatu httpAddress,__lable__5
'575740663603458048',rt usrId vanuatu s president yes climate change is contributing to this httpAddress httpAddress,__lable__1
'575740672335970304',rt usrId thoughts prayers with wonderful people of vanuatu after httpAddress love the annual trip there with vanuatu carbine club g,__lable__6
'575740673434873856',cyclone pam cleanup gets underway in vanuatu in pictures via digg httpAddress,__lable__1
'575740673808183297',rt usrId cleanup begins in vanuatu after cyclone batters islands cnn httpAddress,__lable__1
'575740674898681857',just seen a pic from vanuatu with a body bag on the back of a httpAddress so there are httpAddress let s hope they stay httpAddress,__lable__3
'575740677910212608',aerial footage shows the extent of damage to vanuatu after it was hit by a cyclone on httpAddress httpAddress,__lable__2
'575740679822798848',thank you so much for making the past two days so fun pam valles arnold donna trottier and pete httpAddress httpAddress,__lable__4
'575740681303429120',rt usrId caritas is working with the church in vanuatu after a deadly storm httpAddress we re looking to provide httpAddress httpAddress,__lable__5
'575740683455102976',rt usrId entire towns demolished and fears dozens of people have been killed in wake of httpAddress details httpAddress #9news httpAddress,__lable__3
'575740689683644416',all development has been wiped httpAddress have to start all over again vanuatu president httpAddress,__lable__2
'575740691025817600',vanuatu cyclone leaves many homeless httpAddress,__lable__2
'575740691097120768',cyclone pam like a bomb httpAddress,__lable__1
'575740694649683968',rt usrId australian assistance to httpAddress #auspol #cyclonepam cutting our carbon emissions might help to prevent a httpAddress htt,__lable__5
'575740694666440704',rt usrId httpAddress higher death toll feared in vanuatu in wake of tropical cyclone pam #vanuatu DD httpAddress,__lable__3
'575740694867746816',rt usrId httpAddress #cyclonenathan cyclone nathan cyclone nathan expected to u turn out to sea,__lable__1
'575740696948174848',#israel #jpost israaid to send more officials supplies to alleviate devastated vanuatu islands httpAddress,__lable__5
'575740697820598273',rt usrId #australia to provide initial package of life saving support to #vanuatu following tropical cyclone pam httpAddress,__lable__5
'575740703461928961',rt usrId right now #redcross emergency teams in solomons vanuatu and fiji are working hard to help thousands affected by cyclone #p,__lable__5
'575740705449975808',officials blame climate change as vanuatu picks up the pieces after monster storm httpAddress #climate,__lable__1
'575740706657935360',rt usrId the #survivor family is thinking of the people of httpAddress httpAddress,__lable__6
'575740706750226432',rt usrId pray for #vanuatu #cyclonepam #tcpam httpAddress,__lable__6
'575740708549619713',memories become weaker without reinforcement study finds by pam belluck via nyt httpAddress httpAddress,__lable__4
'575740769484439552',rt usrId food running critically short in #vanuatu after httpAddress please help us help animals httpAddress httpAddress,__lable__5
'575740770583367682',httpAddress and httpAddress is httpAddress the things that come out they mouth 2 2,__lable__4
'575740822580146177',jonatusjr at least D killed and dozens more feared dead as cyclone pam hits vanuatu via httpAddress,__lable__3
'575740836153061376',premier league live stream link httpAddress #marian wales welsh ireland vanuatu ryan terry pratchett,__lable__4
'575740888573313024',oh and then tomorrow a cat D cyclone comes our httpAddress httpAddress,__lable__1
'575740923004354560',cyclone pam vanatu islanders face starvation within days following destruction of all their httpAddress httpAddress #itsparto,__lable__2
'575740934773608448',relief teams reach vanuatus cyclone hit outer islands httpAddress,__lable__5
'575740944927956992',rt usrId the people of #vanuatu need your help please give generously to our #cyclonepam appeal httpAddress httpAddress,__lable__5
'575740976565743616',rt usrId httpAddress cyclone pam #cyclonepam cyclone pam vanuatu activates emergency plans as category five sys htt,__lable__1
'575740983037591553',vanuatu president speaks of devastation from cyclone pam vanuatu president heading home from japan disaster .. httpAddress,__lable__1
'575740984107139073',cricket makes contribution for vanuatu cyclone victims httpAddress,__lable__5
'575740994374606849',cyclone pam turns pastor s trip to vanuatu into rebuilding mission httpAddress,__lable__1
'575741028684013568',rt usrId #cyclonepam still tearing through httpAddress much bigger than expected says our colleague in port httpAddress initial repo,__lable__1
